CCSS Code,CCSS Standard,Mapped Framework,Mapped Code,Mapped Standard / Benchmark
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,BLOOM,BLOOM.1.2,Retrieving relevant knowledge from long-term memory
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,TEKS,TEKS.ELAR.3.11(D),"(D) edit drafts using standard English conventions, including:"
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,BEST,BEST.ELA.3.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level."
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,GSE,3.L.GC.1,"**Grammar, Usage, & Mechanics** Learn and apply conventions of Standard English grammar, usage, and mechanics to aid the comprehension and analysis of texts and to communicate clearly and precisely in written and spoken language."
CCSS.L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",BLOOM,BLOOM.1.2,Retrieving relevant knowledge from long-term memory
CCSS.L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",TEKS,TEKS.ELAR.3.11(D),"(D) edit drafts using standard English conventions, including:"
CCSS.L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",GSE,3.L.GC.1,"**Grammar, Usage, & Mechanics** Learn and apply conventions of Standard English grammar, usage, and mechanics to aid the comprehension and analysis of texts and to communicate clearly and precisely in written and spoken language."
CCSS.L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",TEKS,TEKS.ELAR.3.11(D),"(D) edit drafts using standard English conventions, including:"
CCSS.L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",BEST,BEST.ELA.3.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level."
CCSS.L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",GSE,3.L.GC.1,"**Grammar, Usage, & Mechanics** Learn and apply conventions of Standard English grammar, usage, and mechanics to aid the comprehension and analysis of texts and to communicate clearly and precisely in written and spoken language."
CCSS.L.3.4,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",TEKS,TEKS.ELAR.3.10(F),(F) discuss how the author's use of language contributes to voice; and
CCSS.L.3.4,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",BEST,BEST.ELA.3.V.1.1,Use grade-level academic vocabulary appropriately in speaking and writing.
CCSS.L.3.4,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",GSE,3.L.V.3,**Meaning & Purpose** Make connections between words and phrases and use reference materials to determine or clarify word meanings in a variety of settings and for a variety of purposes.
CCSS.L.3.5,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information
CCSS.L.3.5,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",TEKS,TEKS.ELAR.3.3(D),"(D) identify, use, and explain the meaning of antonyms, synonyms, idioms, homophones, and homographs in a text."
CCSS.L.3.5,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",BEST,BEST.ELA.3.V.1.1,Use grade-level academic vocabulary appropriately in speaking and writing.
CCSS.L.3.5,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",GSE,3.T.SS.2.a,"Identify and describe the use of figurative language, such as similes, metaphors, and idioms in a wide variety of texts. (I)"
CCSS.L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",BLOOM,BLOOM.1.2,Retrieving relevant knowledge from long-term memory
CCSS.L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",TEKS,TEKS.ELAR.3.7(F),(F) respond using newly acquired vocabulary as appropriate; and
CCSS.L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",BEST,BEST.ELA.3.V.1.1,Use grade-level academic vocabulary appropriately in speaking and writing.
CCSS.L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",BEST,BEST.ELA.3.V.1.3,"Use context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the meaning of multiple-meaning and unknown words and phrases, appropriate to grade level."
CCSS.L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",GSE,3.L.V.1,"**General, Academic, & Specialized Vocabulary** Acquire and use general, academic, and specialized vocabulary words and phrases with precision in a variety of settings."
CCSS.RF.3.3,Know and apply grade-level phonics and word analysis skills in decoding words.,BLOOM,BLOOM.2,"Construct meaning from instructional messages, including oral, written, and graphic communication"
CCSS.RF.3.3,Know and apply grade-level phonics and word analysis skills in decoding words.,BEST,BEST.ELA.3.F.1.4,"Read grade-level texts with accuracy, automaticity, and appropriate prosody or expression."
CCSS.RF.3.3,Know and apply grade-level phonics and word analysis skills in decoding words.,GSE,3.F.P.4,**Decoding & Encoding with Phonics** Use knowledge of phonics to decode and encode grade-level words.
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,BLOOM,BLOOM.1,Retrieve relevant knowledge from long-term memory
