ccss_code,ccss_description,grade,framework,framework_code,framework_description,framework_tag,framework_strand,framework_substrand
CCSS.L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,11,BLOOM,BLOOM.3.1,Applying a procedure to a familiar task,Executing,,
CCSS.L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,11,TEKS,TEKS.ELAR.E3.5(H),"(H) respond orally or in writing with appropriate register and effective vocabulary, tone, and voice;",,,
CCSS.L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,11,TEKS,TEKS.ELAR.E4.5(H),"(H) respond orally or in writing with appropriate register and purposeful vocabulary, tone, and voice;",,,
CCSS.L.11-12.1.A,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",11,BEST,BEST.ELA.11.C.3.1,Use knowledge of usage rules to create flow in writing and presenting,,Communication: Following Conventions,Conventions
CCSS.L.11-12.1.A,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.1.A,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",11,TEKS,TEKS.ELAR.E3.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.1.A,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",11,TEKS,TEKS.ELAR.E4.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.1.B,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.1.B,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.1.B,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",11,TEKS,TEKS.ELAR.E3.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.1.B,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",11,TEKS,TEKS.ELAR.E4.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",11,TEKS,TEKS.ELAR.E3.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",11,TEKS,TEKS.ELAR.E4.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.2.A,Observe hyphenation conventions.,11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
