standard_id,initiative_id,s.initiative_name,framework_id,standard_grade_level,standard_statement,standard_code,s.full_code,standard_domain,standard_subdomain,standard_standard
1881,1,CCSS,6,,,Algebra,CCSS.Algebra,CONTENT,,Algebra
1317,1,CCSS,1,,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,CCRA.L.1,CCSS.CCRA.L.1,CCRA.L,,1
1318,1,CCSS,1,,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",CCRA.L.2,CCSS.CCRA.L.2,CCRA.L,,2
1319,1,CCSS,1,,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",CCRA.L.3,CCSS.CCRA.L.3,CCRA.L,,3
1320,1,CCSS,1,,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",CCRA.L.4,CCSS.CCRA.L.4,CCRA.L,,4
1321,1,CCSS,1,,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",CCRA.L.5,CCSS.CCRA.L.5,CCRA.L,,5
1322,1,CCSS,1,,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",CCRA.L.6,CCSS.CCRA.L.6,CCRA.L,,6
1323,1,CCSS,1,,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,CCRA.R.1,CCSS.CCRA.R.1,CCRA.R,,1
1324,1,CCSS,1,,Read and comprehend complex literary and informational texts independently and proficiently.,CCRA.R.10,CCSS.CCRA.R.10,CCRA.R,,10
1325,1,CCSS,1,,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,CCRA.R.2,CCSS.CCRA.R.2,CCRA.R,,2
1326,1,CCSS,1,,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text.",CCRA.R.3,CCSS.CCRA.R.3,CCRA.R,,3
1327,1,CCSS,1,,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",CCRA.R.4,CCSS.CCRA.R.4,CCRA.R,,4
1328,1,CCSS,1,,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",CCRA.R.5,CCSS.CCRA.R.5,CCRA.R,,5
1329,1,CCSS,1,,Assess how point of view or purpose shapes the content and style of a text.,CCRA.R.6,CCSS.CCRA.R.6,CCRA.R,,6
1330,1,CCSS,1,,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1",CCRA.R.7,CCSS.CCRA.R.7,CCRA.R,,7
1331,1,CCSS,1,,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",CCRA.R.8,CCSS.CCRA.R.8,CCRA.R,,8
